ADC_TIMER_DMA_EXPERIMENT,version=1
CONFIG,sample_rate_hz=500,duration_s=120,dma_samples=64,timing_probe=1,sw_trigger_after_rearm=0,foreground_stalls=1,print_samples=0
START
SUMMARY,elapsed_ms=14055,conversions=7027,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=109,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=658,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=109,processed_samples=6976,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=268,sample_max=4595,short_stalls=140,long_stalls=14
SUMMARY,elapsed_ms=15055,conversions=7527,interval_mean_us=1999,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=117,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=705,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=117,processed_samples=7488,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=268,sample_max=4595,short_stalls=150,long_stalls=15
SUMMARY,elapsed_ms=16055,conversions=8027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=125,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=752,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=124,processed_samples=7936,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=268,sample_max=4595,short_stalls=160,long_stalls=16
SUMMARY,elapsed_ms=17055,conversions=8527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=133,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=799,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=132,processed_samples=8448,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=268,sample_max=4595,short_stalls=170,long_stalls=17
SUMMARY,elapsed_ms=18055,conversions=9027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=140,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=845,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=140,processed_samples=8960,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=268,sample_max=4595,short_stalls=180,long_stalls=18
SUMMARY,elapsed_ms=19055,conversions=9527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=148,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=892,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=148,processed_samples=9472,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=267,sample_max=4595,short_stalls=190,long_stalls=19
SUMMARY,elapsed_ms=20055,conversions=10027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=156,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=939,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=156,processed_samples=9984,bad_slots=0,process_max_us=54,sample_min=221,sample_mean=267,sample_max=4595,short_stalls=200,long_stalls=20
SUMMARY,elapsed_ms=21055,conversions=10527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=164,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=986,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=163,processed_samples=10432,bad_slots=0,process_max_us=54,sample_min=220,sample_mean=267,sample_max=4595,short_stalls=210,long_stalls=21
SUMMARY,elapsed_ms=22055,conversions=11027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=172,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=1033,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=171,processed_samples=10944,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=266,sample_max=4595,short_stalls=220,long_stalls=22
SUMMARY,elapsed_ms=23055,conversions=11527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2009,interval_short=1,interval_long=0,dma_completes=179,dma_complete_min_us=128004,dma_complete_max_us=128006,dma_errors=0,fifo_overruns=1079,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=179,processed_samples=11456,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=266,sample_max=4595,short_stalls=230,long_stalls=23
SUMMARY,elapsed_ms=24055,conversions=12027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=187,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1126,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=187,processed_samples=11968,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=265,sample_max=4595,short_stalls=240,long_stalls=24
